F S UID          PID    PPID  C PRI  NI ADDR SZ WCHAN  STIME TTY          TIME CMD
0 S shreeub+    2868    2817  0  80   0 - 12666483 futex_ 15:01 ?     00:00:00 /proc/self/exe --type=utility --utility-sub-type=network.mojom.NetworkService --lang=en-US --service-sandbox-type=none --render-node-override=/dev/dri/renderD128 --crashpad-handler-pid=2842 --enable-crash-reporter=64d471f6-f870-47d5-a97d-7bcd5a01cb05,no_channel --user-data-dir=/home/shreeubhale/.config/Code --standard-schemes=vscode-webview,vscode-file --enable-sandbox --secure-schemes=vscode-webview,vscode-file --cors-schemes=vscode-webview,vscode-file --fetch-schemes=vscode-webview,vscode-file --service-worker-schemes=vscode-webview --code-cache-schemes=vscode-webview,vscode-file --shared-files=v8_context_snapshot_data:100 --field-trial-handle=3,i,5152987652296817848,12392853441034364480,262144 --enable-features=DocumentPolicyIncludeJSCallStacksInCrashReports,EarlyEstablishGpuChannel,EstablishGpuChannelAsync --disable-features=CalculateNativeWinOcclusion,LocalNetworkAccessChecks,ScreenAIOCREnabled,SpareRendererForSitePerProcess,TraceSiteInstanceGetProcessCreation --variations-seed-version --trace-process-track-uuid=3190708989122997041
0 S shreeub+    2891    1844  0  80   0 - 197999 do_pol 15:01 ?       00:00:00 /usr/libexec/gsd-xsettings
1 S shreeub+    2917    2825  3  80   0 - 365835150 futex_ 15:01 ?    00:01:19 /usr/share/code/code --type=zygote
0 S shreeub+    2941    1844  0  80   0 - 66788 do_pol 15:01 ?        00:00:00 /usr/libexec/ibus-x11
0 S shreeub+    2945    2125  0  80   0 - 255029 do_pol 15:01 ?       00:00:00 /usr/libexec/mutter-x11-frames
0 S shreeub+    2986    2817  0  80   0 - 365333473 futex_ 15:01 ?    00:00:07 /proc/self/exe --type=utility --utility-sub-type=node.mojom.NodeService --lang=en-US --service-sandbox-type=none --render-node-override=/dev/dri/renderD128 --dns-result-order=ipv4first --experimental-network-inspection --inspect-port=0 --crashpad-handler-pid=2842 --enable-crash-reporter=64d471f6-f870-47d5-a97d-7bcd5a01cb05,no_channel --user-data-dir=/home/shreeubhale/.config/Code --standard-schemes=vscode-webview,vscode-file --enable-sandbox --secure-schemes=vscode-webview,vscode-file --cors-schemes=vscode-webview,vscode-file --fetch-schemes=vscode-webview,vscode-file --service-worker-schemes=vscode-webview --code-cache-schemes=vscode-webview,vscode-file --shared-files=v8_context_snapshot_data:100 --field-trial-handle=3,i,5152987652296817848,12392853441034364480,262144 --enable-features=DocumentPolicyIncludeJSCallStacksInCrashReports,EarlyEstablishGpuChannel,EstablishGpuChannelAsync --disable-features=CalculateNativeWinOcclusion,LocalNetworkAccessChecks,ScreenAIOCREnabled,SpareRendererForSitePerProcess,TraceSiteInstanceGetProcessCreation --variations-seed-version --trace-process-track-uuid=3190708990997080739
0 S shreeub+    3001    2817  0  80   0 - 365333224 futex_ 15:01 ?    00:00:02 /proc/self/exe --type=utility --utility-sub-type=node.mojom.NodeService --lang=en-US --service-sandbox-type=none --render-node-override=/dev/dri/renderD128 --crashpad-handler-pid=2842 --enable-crash-reporter=64d471f6-f870-47d5-a97d-7bcd5a01cb05,no_channel --user-data-dir=/home/shreeubhale/.config/Code --standard-schemes=vscode-webview,vscode-file --enable-sandbox --secure-schemes=vscode-webview,vscode-file --cors-schemes=vscode-webview,vscode-file --fetch-schemes=vscode-webview,vscode-file --service-worker-schemes=vscode-webview --code-cache-schemes=vscode-webview,vscode-file --shared-files=v8_context_snapshot_data:100 --field-trial-handle=3,i,5152987652296817848,12392853441034364480,262144 --enable-features=DocumentPolicyIncludeJSCallStacksInCrashReports,EarlyEstablishGpuChannel,EstablishGpuChannelAsync --disable-features=CalculateNativeWinOcclusion,LocalNetworkAccessChecks,ScreenAIOCREnabled,SpareRendererForSitePerProcess,TraceSiteInstanceGetProcessCreation --variations-seed-version --trace-process-track-uuid=3190708991934122588
0 S shreeub+    3002    2817  0  80   0 - 365335411 futex_ 15:01 ?    00:00:02 /proc/self/exe --type=utility --utility-sub-type=node.mojom.NodeService --lang=en-US --service-sandbox-type=none --render-node-override=/dev/dri/renderD128 --crashpad-handler-pid=2842 --enable-crash-reporter=64d471f6-f870-47d5-a97d-7bcd5a01cb05,no_channel --user-data-dir=/home/shreeubhale/.config/Code --standard-schemes=vscode-webview,vscode-file --enable-sandbox --secure-schemes=vscode-webview,vscode-file --cors-schemes=vscode-webview,vscode-file --fetch-schemes=vscode-webview,vscode-file --service-worker-schemes=vscode-webview --code-cache-schemes=vscode-webview,vscode-file --shared-files=v8_context_snapshot_data:100 --field-trial-handle=3,i,5152987652296817848,12392853441034364480,262144 --enable-features=DocumentPolicyIncludeJSCallStacksInCrashReports,EarlyEstablishGpuChannel,EstablishGpuChannelAsync --disable-features=CalculateNativeWinOcclusion,LocalNetworkAccessChecks,ScreenAIOCREnabled,SpareRendererForSitePerProcess,TraceSiteInstanceGetProcessCreation --variations-seed-version --trace-process-track-uuid=3190708992871164437
0 S shreeub+    3069    2986  0  80   0 - 24070 unix_s 15:01 ?        00:00:02 /home/shreeubhale/.vscode/extensions/ms-vscode.cpptools-1.29.3-linux-x64/bin/cpptools
0 S shreeub+    3150    1844  0  80   0 - 1066032 hrtime 15:01 ?      00:00:00 /home/shreeubhale/.vscode/extensions/ms-vscode.cpptools-1.29.3-linux-x64/bin/cpptools-srv 3069 {1F85B38C-AB98-473F-B2BA-D5D28B7542D4}
0 S shreeub+    3183    1844  0  80   0 - 177769 do_pol 15:01 ?       00:00:07 /usr/libexec/gnome-terminal-server
0 S shreeub+    3190    3183  0  80   0 -  2876 do_sel 15:01 pts/0    00:00:00 bash
0 S shreeub+    3299    2083  0  80   0 - 122932 do_pol 15:02 ?       00:00:00 /usr/bin/update-notifier
0 S shreeub+    3369    1844  0  80   0 - 1066197 hrtime 15:05 ?      00:00:00 /home/shreeubhale/.vscode/extensions/ms-vscode.cpptools-1.29.3-linux-x64/bin/cpptools-srv 3069 {3E86BB03-B44B-4823-B25C-FA8CD542363D}
1 I root        3459       2  0  80   0 -     0 -      15:06 ?        00:00:00 [kworker/0:1]
1 I root        3557       2  0  80   0 -     0 -      15:18 ?        00:00:00 [kworker/2:2-events]
4 S root        3564       1  0  80   0 - 120532 -     15:19 ?        00:00:00 /usr/libexec/fwupd/fwupd
1 I root        3577       2  0  80   0 -     0 -      15:20 ?        00:00:00 [kworker/4:3]
1 I root        3578       2  0  80   0 -     0 -      15:20 ?        00:00:00 [kworker/u32:0-i915]
1 I root        3620       2  0  80   0 -     0 -      15:28 ?        00:00:00 [kworker/u32:2-events_unbound]
1 I root        3626       2  0  80   0 -     0 -      15:30 ?        00:00:00 [kworker/3:0]
1 I root        3632       2  0  80   0 -     0 -      15:31 ?        00:00:00 [kworker/5:1-events]
0 S shreeub+    3664    3183  0  80   0 -  2849 do_wai 15:32 pts/1    00:00:00 bash
4 R shreeub+    3757    3664  0  80   0 -  3449 -      15:38 pts/1    00:00:00 ps -elf
